2016-02-23 15:47:52,450 [main] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,451 [main] INFO  (DOMFile.java [printStatistics]:1360) - dom.dbx DATA Buffers occupation : 2% (4 out of 256) Cache efficiency : 100% 
2016-02-23 15:47:52,451 [main] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,451 [main] INFO  (BFile.java [printStatistics]:436) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,451 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,452 [main] INFO  (BFile.java [printStatistics]:436) - values.dbx DATA Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,454 [main] INFO  (Configurator.java [save]:1244) - Storing configuration /db/system/security/exist/accounts/guest.xml 
2016-02-23 15:47:52,461 [main] INFO  (NativeBroker.java [sync]:3588) - Memory: 63,360K total; 760,256K max; 36,354K free 
2016-02-23 15:47:52,462 [main] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,462 [main] INFO  (DOMFile.java [printStatistics]:1360) - dom.dbx DATA Buffers occupation : 2% (5 out of 256) Cache efficiency : 100% 
2016-02-23 15:47:52,462 [main] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,463 [main] INFO  (BFile.java [printStatistics]:436) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,463 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,463 [main] INFO  (BFile.java [printStatistics]:436) - values.dbx DATA Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,469 [main] INFO  (Configurator.java [save]:1244) - Storing configuration /db/system/security/config.xml 
2016-02-23 15:47:52,472 [main] INFO  (NativeBroker.java [removeXMLResource]:2641) - Removing document config.xml (3) ... 
2016-02-23 15:47:52,478 [main] INFO  (NativeBroker.java [sync]:3588) - Memory: 63,360K total; 760,256K max; 36,013K free 
2016-02-23 15:47:52,479 [main] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,479 [main] INFO  (DOMFile.java [printStatistics]:1360) - dom.dbx DATA Buffers occupation : 2% (5 out of 256) Cache efficiency : 100% 
2016-02-23 15:47:52,480 [main] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,480 [main] INFO  (BFile.java [printStatistics]:436) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,480 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,480 [main] INFO  (BFile.java [printStatistics]:436) - values.dbx DATA Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,482 [main] INFO  (Configurator.java [save]:1244) - Storing configuration /db/system/security/exist/accounts/guest.xml 
2016-02-23 15:47:52,484 [main] INFO  (NativeBroker.java [removeXMLResource]:2641) - Removing document guest.xml (5) ... 
2016-02-23 15:47:52,495 [main] INFO  (NativeBroker.java [sync]:3588) - Memory: 63,360K total; 760,256K max; 36,013K free 
2016-02-23 15:47:52,495 [main] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,495 [main] INFO  (DOMFile.java [printStatistics]:1360) - dom.dbx DATA Buffers occupation : 2% (5 out of 256) Cache efficiency : 100% 
2016-02-23 15:47:52,495 [main] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,496 [main] INFO  (BFile.java [printStatistics]:436) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,497 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,497 [main] INFO  (BFile.java [printStatistics]:436) - values.dbx DATA Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,503 [main] INFO  (NativeBroker.java [sync]:3588) - Memory: 63,360K total; 760,256K max; 35,655K free 
2016-02-23 15:47:52,504 [main] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,504 [main] INFO  (DOMFile.java [printStatistics]:1360) - dom.dbx DATA Buffers occupation : 2% (5 out of 256) Cache efficiency : 100% 
2016-02-23 15:47:52,504 [main] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,504 [main] INFO  (BFile.java [printStatistics]:436) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,505 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,505 [main] INFO  (BFile.java [printStatistics]:436) - values.dbx DATA Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,516 [main] INFO  (ExistRepository.java [getRepository]:186) - Using directory /vagrant/exist/webapp/WEB-INF/data/expathrepo for expath package repository 
2016-02-23 15:47:52,559 [main] INFO  (NativeBroker.java [sync]:3588) - Memory: 63,360K total; 760,256K max; 34,305K free 
2016-02-23 15:47:52,560 [main] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,561 [main] INFO  (DOMFile.java [printStatistics]:1360) - dom.dbx DATA Buffers occupation : 2% (5 out of 256) Cache efficiency : 100% 
2016-02-23 15:47:52,561 [main] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,561 [main] INFO  (BFile.java [printStatistics]:436) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,562 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,562 [main] INFO  (BFile.java [printStatistics]:436) - values.dbx DATA Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,624 [main] INFO  (Configurator.java [save]:1244) - Storing configuration /db/system/security/exist/accounts/admin.xml 
2016-02-23 15:47:52,646 [main] INFO  (NativeBroker.java [removeXMLResource]:2641) - Removing document admin.xml (4) ... 
2016-02-23 15:47:52,664 [main] INFO  (NativeBroker.java [sync]:3588) - Memory: 63,360K total; 760,256K max; 31,732K free 
2016-02-23 15:47:52,665 [main] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,665 [main] INFO  (DOMFile.java [printStatistics]:1360) - dom.dbx DATA Buffers occupation : 2% (5 out of 256) Cache efficiency : 100% 
2016-02-23 15:47:52,665 [main] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,666 [main] INFO  (BFile.java [printStatistics]:436) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,666 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,666 [main] INFO  (BFile.java [printStatistics]:436) - values.dbx DATA Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,675 [main] INFO  (BrokerPool.java [shutdown]:1899) - Database is shutting down ... 
2016-02-23 15:47:52,697 [main] INFO  (NativeBroker.java [sync]:3588) - Memory: 63,360K total; 760,256K max; 31,395K free 
2016-02-23 15:47:52,697 [main] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,697 [main] INFO  (DOMFile.java [printStatistics]:1360) - dom.dbx DATA Buffers occupation : 2% (5 out of 256) Cache efficiency : 100% 
2016-02-23 15:47:52,698 [main] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,698 [main] INFO  (BFile.java [printStatistics]:436) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,698 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,698 [main] INFO  (BFile.java [printStatistics]:436) - values.dbx DATA Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,699 [main] INFO  (Journal.java [shutdown]:484) - Transaction journal cleanly shutting down with checkpoint... 
2016-02-23 15:47:52,699 [main] INFO  (FileLock.java [release]:189) - Deleting lock file: /vagrant/exist/webapp/WEB-INF/data/journal.lck 
2016-02-23 15:47:52,702 [main] INFO  (FileLock.java [release]:189) - Deleting lock file: /vagrant/exist/webapp/WEB-INF/data/dbx_dir.lck 
2016-02-23 15:47:52,703 [main] INFO  (BrokerPool.java [shutdown]:2036) - shutdown complete ! 
2016-02-23 18:35:39,779 [WrapperListener_start_runner] INFO  (XmlLibraryChecker.java [check]:149) - Looking for a valid Parser...
Checking for Xerces, found version Xerces-J 2.11.0
OK!
 
2016-02-23 18:35:39,850 [WrapperListener_start_runner] INFO  (XmlLibraryChecker.java [check]:172) - Looking for a valid Transformer...
Checking for Saxon, found version 9.4.0.7
OK!
 
2016-02-23 18:35:39,853 [WrapperListener_start_runner] INFO  (XmlLibraryChecker.java [check]:184) - Looking for a valid Resolver...
Checking for Resolver, found version XmlResolver 1.2
OK!
 
2016-02-23 18:35:39,862 [WrapperListener_start_runner] INFO  (XmlLibraryChecker.java [check]:191) - Using parser org.apache.xerces.jaxp.SAXParserImpl$JAXPSAXParser 
2016-02-23 18:35:39,873 [WrapperListener_start_runner] INFO  (XmlLibraryChecker.java [check]:192) - Using transformer org.apache.xalan.transformer.TransformerIdentityImpl 
2016-02-23 18:35:39,947 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:120) - Configuring eXist from /vagrant/exist/tools/wrapper/bin/../../../conf.xml 
2016-02-23 18:35:39,949 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:122) - Running with Java 1.7.0_95 [Oracle Corporation (OpenJDK Client VM) in /usr/lib/jvm/java-7-openjdk-i386/jre] 
2016-02-23 18:35:39,950 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:128) - Running as user 'root' 
2016-02-23 18:35:39,986 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:131) - [eXist Version : 2.2] 
2016-02-23 18:35:39,987 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:133) - [eXist Build : 20141120] 
2016-02-23 18:35:39,987 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:135) - [eXist Home : unknown] 
2016-02-23 18:35:39,987 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:137) - [Git commmit : master-5c5aadc] 
2016-02-23 18:35:39,988 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:140) - [Operating System : Linux 3.13.0-77-generic i386] 
2016-02-23 18:35:39,988 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:145) - [jetty.home : ../../../tools/jetty] 
2016-02-23 18:35:39,988 [WrapperListener_start_runner] INFO  (JettyStart.java [run]:147) - [log4j.configuration : file:../conf/log4j.xml] 
2016-02-23 18:35:39,991 [WrapperListener_start_runner] INFO  (Configuration.java [<init>]:183) - Reading configuration from file ../../../conf.xml 
2016-02-23 18:35:40,139 [WrapperListener_start_runner] INFO  (Configuration.java [configureStartup]:1258) - Registered StartupTrigger: org.exist.extensions.exquery.restxq.impl.RestXqStartupTrigger 
2016-02-23 18:35:40,151 [WrapperListener_start_runner] INFO  (Configuration.java [configureStartup]:1258) - Registered StartupTrigger: org.exist.repo.AutoDeploymentTrigger 
2016-02-23 18:35:41,289 [WrapperListener_start_runner] ERROR (Configuration.java [lookupModuleClass]:457) - Configuration problem: class not found for module 'http://exist-db.org/xquery/context' (ClassNotFoundException); class:'org.exist.xquery.modules.context.ContextModule'; message:'org.exist.xquery.modules.context.ContextModule' 
2016-02-23 18:35:41,396 [WrapperListener_start_runner] ERROR (Configuration.java [lookupModuleClass]:457) - Configuration problem: class not found for module 'http://exist-db.org/xquery/versioning/svn' (ClassNotFoundException); class:'org.exist.versioning.svn.xquery.SVNModule'; message:'org.exist.versioning.svn.xquery.SVNModule' 
2016-02-23 18:35:41,407 [WrapperListener_start_runner] INFO  (eXistURLStreamHandlerFactory.java [init]:53) - Succesfully registered eXistURLStreamHandlerFactory. 
2016-02-23 18:35:41,414 [WrapperListener_start_runner] INFO  (Configuration.java [configureValidation]:1515) - Add catalog uri file:/vagrant/exist/webapp//WEB-INF/catalog.xml 
2016-02-23 18:35:41,418 [WrapperListener_start_runner] INFO  (GrammarPool.java [<init>]:53) - Initializing GrammarPool. 
2016-02-23 18:35:41,428 [WrapperListener_start_runner] INFO  (BrokerPool.java [<init>]:670) - database instance 'exist' will have between 1 and 20 brokers 
2016-02-23 18:35:41,428 [WrapperListener_start_runner] INFO  (BrokerPool.java [<init>]:679) - database instance 'exist' will be synchronized every 120,000 ms 
